Date,Date_YMD,Status,TT,AN,AP,AR,AS,BR,CH,CT,DN,DD,DL,GA,GJ,HR,HP,JK,JH,KA,KL,LA,LD,MP,MH,MN,ML,MZ,NL,OR,PY,PB,RJ,SK,TN,TG,TR,UP,UT,WB,UN
05-Feb-21,05-02-2021,Recovered,14512,0,179,0,29,201,23,263,1,0,140,78,425,96,48,63,47,470,6653,3,2,299,3513,11,9,3,0,122,27,214,173,7,506,189,1,323,97,297,0
05-Feb-21,05-02-2021,Deceased,95,0,1,0,0,2,1,8,0,0,2,0,1,1,0,1,0,3,19,0,0,1,40,0,0,0,0,1,2,-1,1,0,4,1,0,2,3,2,0
06-Feb-21,06-02-2021,Confirmed,12069,3,75,1,9,88,0,260,0,0,123,65,252,71,87,65,41,531,5942,1,10,197,2768,7,24,1,22,82,35,183,97,3,477,161,0,144,47,197,0
06-Feb-21,06-02-2021,Recovered,11761,0,133,2,20,84,0,297,1,0,151,56,401,112,51,88,54,434,6178,1,0,315,1739,11,3,5,5,109,32,166,150,5,503,147,1,164,50,293,0
06-Feb-21,06-02-2021,Deceased,75,0,1,0,0,1,0,3,0,0,4,0,1,0,1,0,0,3,16,0,0,1,25,0,0,0,0,1,0,6,1,0,3,1,0,4,2,1,0
07-Feb-21,07-02-2021,Confirmed,11786,1,73,0,8,53,47,186,0,0,119,42,244,67,45,59,38,487,6075,3,2,184,2673,9,40,1,10,72,22,207,75,2,471,150,0,113,15,193,0
07-Feb-21,07-02-2021,Recovered,11756,0,82,0,24,84,63,210,0,0,179,48,355,90,77,60,34,493,5948,3,0,217,1622,18,5,0,0,106,27,185,138,7,498,186,3,670,35,289,0
07-Feb-21,07-02-2021,Deceased,86,0,0,0,0,1,2,6,0,0,2,2,1,2,1,0,1,3,19,0,0,0,30,1,0,0,0,0,0,2,0,0,1,2,0,1,4,5,0
08-Feb-21,08-02-2021,Confirmed,8715,4,62,1,19,56,26,265,0,0,125,57,232,76,29,43,38,328,3742,6,1,193,2216,4,1,1,2,72,26,192,101,0,464,101,0,70,43,119,0
08-Feb-21,08-02-2021,Recovered,13600,0,102,3,26,129,25,362,1,0,138,85,450,89,35,80,31,350,5959,7,11,190,3423,18,3,3,11,83,28,245,93,3,495,197,0,504,142,279,0
08-Feb-21,08-02-2021,Deceased,78,0,1,0,1,1,1,3,0,0,3,0,1,0,0,0,0,3,16,0,0,3,15,0,1,0,0,1,1,11,2,0,4,1,0,4,3,2,0
09-Feb-21,09-02-2021,Confirmed,10731,2,70,0,27,92,21,206,0,0,100,59,234,93,68,55,61,366,5214,5,12,167,2515,7,7,3,6,105,35,185,90,0,469,149,1,107,54,146,0
09-Feb-21,09-02-2021,Recovered,12928,0,115,1,17,120,21,222,0,0,144,98,353,105,72,55,35,513,6475,17,16,219,2554,15,4,3,3,108,37,212,125,4,491,186,2,243,67,276,0
09-Feb-21,09-02-2021,Deceased,94,0,0,0,1,1,1,2,0,0,0,2,1,4,3,0,0,2,19,0,0,2,35,0,0,0,0,0,0,8,0,0,4,1,0,0,2,6,0
10-Feb-21,10-02-2021,Confirmed,12539,0,50,0,11,64,17,222,0,0,127,72,255,77,83,45,45,415,5980,4,15,141,3451,11,31,2,2,92,19,229,107,1,479,157,0,121,35,179,0
10-Feb-21,10-02-2021,Recovered,11796,0,121,0,17,60,26,312,0,0,131,64,495,107,49,32,42,322,5745,3,25,175,2421,39,4,3,3,81,32,180,89,3,493,163,0,166,110,283,0
10-Feb-21,10-02-2021,Deceased,110,0,1,0,0,2,1,9,0,0,2,2,0,0,1,1,3,3,18,0,0,2,30,0,0,0,0,0,1,14,3,0,5,1,0,5,1,5,0
11-Feb-21,11-02-2021,Confirmed,9353,0,87,1,10,57,13,254,0,0,142,45,285,106,36,65,45,430,5281,0,6,169,652,7,7,2,7,95,25,306,111,2,481,146,0,215,48,217,0
11-Feb-21,11-02-2021,Recovered,15722,0,79,0,23,113,30,848,0,0,135,59,302,81,30,40,53,340,5692,8,1,199,6107,3,5,2,5,60,22,187,174,0,490,118,2,151,77,286,0
11-Feb-21,11-02-2021,Deceased,85,0,0,0,0,1,1,4,0,0,2,0,2,1,1,2,0,7,16,0,0,1,25,0,0,0,0,0,0,7,2,0,6,0,0,0,2,5,0
12-Feb-21,12-02-2021,Confirmed,12137,0,68,0,8,78,19,229,2,0,141,39,268,104,30,91,36,380,5397,1,1,161,3670,11,1,1,1,58,19,246,108,3,483,143,0,103,49,188,0
12-Feb-21,12-02-2021,Recovered,11358,2,106,0,12,86,17,410,0,0,136,127,281,114,17,84,51,405,5332,3,0,218,2422,8,3,2,13,71,31,162,85,4,486,152,2,189,63,264,0
12-Feb-21,12-02-2021,Deceased,104,0,1,0,0,1,0,7,0,0,3,1,1,1,1,1,0,8,18,0,0,1,36,0,0,0,0,0,0,8,1,0,6,1,0,2,2,4,0
13-Feb-21,13-02-2021,Confirmed,12198,2,54,0,3,44,17,229,0,0,126,41,279,82,59,60,41,419,5471,2,36,194,3611,17,5,1,7,59,24,260,110,0,477,151,0,88,44,185,0
13-Feb-21,13-02-2021,Recovered,11107,4,71,1,28,80,35,256,0,0,138,51,283,70,38,77,29,430,5835,3,15,227,1773,7,3,0,7,100,24,221,107,2,482,185,0,221,47,257,0
13-Feb-21,13-02-2021,Deceased,89,0,0,0,1,2,1,5,0,0,0,1,0,4,1,1,1,4,16,0,0,0,38,0,0,0,0,0,0,4,1,0,5,0,0,1,2,1,0
